adm_cd,adm_nm,sgis_adm_cd,sgis_adm_nm
1111051500,청운효자동,11010720,청운효자동
1111053000,사직동,11010530,사직동
1111054000,삼청동,11010540,삼청동
1111055000,부암동,11010550,부암동
1111056000,평창동,11010560,평창동
1111057000,무악동,11010570,무악동
1111058000,교남동,11010580,교남동
1111060000,가회동,11010600,가회동
1111061500,종로1.2.3.4가동,11010610,종로1·2·3·4가동
1111063000,종로5.6가동,11010630,종로5·6가동
1111064000,이화동,11010640,이화동
1111065000,혜화동,11010730,혜화동
1111067000,창신제1동,11010670,창신1동
1111068000,창신제2동,11010680,창신2동
1111069000,창신제3동,11010690,창신3동
1111070000,숭인제1동,11010700,숭인1동
1111071000,숭인제2동,11010710,숭인2동
1114052000,소공동,11020520,소공동
1114054000,회현동,11020540,회현동
1114055000,명동,11020550,명동
1114057000,필동,11020570,필동
1114058000,장충동,11020580,장충동
1114059000,광희동,11020590,광희동
1114060500,을지로동,11020600,을지로동
1114061500,신당동,11020690,신당동
1114062500,다산동,11020700,다산동
1114063500,약수동,11020710,약수동
1114064500,청구동,11020720,청구동
1114065000,신당제5동,11020650,신당5동
1114066500,동화동,11020730,동화동
1114067000,황학동,11020670,황학동
1114068000,중림동,11020680,중림동
1117051000,후암동,11030510,후암동
1117052000,용산2가동,11030520,용산2가동
1117053000,남영동,11030530,남영동
1117055500,청파동,11030710,청파동
1117056000,원효로제1동,11030720,원효로1동
1117057000,원효로제2동,11030570,원효로2동
1117058000,효창동,11030580,효창동
1117059000,용문동,11030590,용문동
1117062500,한강로동,11030730,한강로동
1117063000,이촌제1동,11030630,이촌1동
1117064000,이촌제2동,11030640,이촌2동
1117065000,이태원제1동,11030650,이태원1동
1117066000,이태원제2동,11030660,이태원2동
1117068500,한남동,11030740,한남동
1117069000,서빙고동,11030690,서빙고동
1117070000,보광동,11030700,보광동
1120052000,왕십리제2동,11040520,왕십리2동
1120053500,왕십리도선동,11040710,왕십리도선동
1120054000,마장동,11040540,마장동
1120055000,사근동,11040550,사근동
1120056000,행당제1동,11040560,행당1동
1120057000,행당제2동,11040570,행당2동
1120058000,응봉동,11040580,응봉동
1120059000,금호1가동,11040590,금호1가동
1120061500,금호2.3가동,11040720,금호2·3가동
1120062000,금호4가동,11040620,금호4가동
1120064500,옥수동,11040730,옥수동
1120065000,성수1가제1동,11040650,성수1가1동
1120066000,성수1가제2동,11040660,성수1가2동
1120067000,성수2가제1동,11040670,성수2가1동
1120069000,성수2가제3동,11040680,성수2가3동
1120072000,송정동,11040690,송정동
1120079000,용답동,11040700,용답동
1121571000,화양동,11050530,화양동
1121573000,군자동,11050540,군자동
1121574000,중곡제1동,11050550,중곡1동
1121575000,중곡제2동,11050560,중곡2동
1121576000,중곡제3동,11050570,중곡3동
1121577000,중곡제4동,11050580,중곡4동
1121578000,능동,11050590,능동
1121581000,광장동,11050630,광장동
1121582000,자양제1동,11050640,자양1동
1121583000,자양제2동,11050650,자양2동
1121584000,자양제3동,11050660,자양3동
1121584700,자양제4동,11050670,자양4동
1121585000,구의제1동,11050600,구의1동
1121586000,구의제2동,11050610,구의2동
1121587000,구의제3동,11050620,구의3동
1123054500,제기동,11060820,제기동
1123056000,전농제1동,11060830,전농1동
1123057000,전농제2동,11060840,전농2동
1123060000,답십리제1동,11060910,답십리1동
1123061000,답십리제2동,11060860,답십리2동
1123065000,장안제1동,11060870,장안1동
1123066000,장안제2동,11060880,장안2동
1123070500,청량리동,11060800,청량리동
1123071000,회기동,11060710,회기동
1123072000,휘경제1동,11060720,휘경1동
1123073000,휘경제2동,11060730,휘경2동
1123074000,이문제1동,11060890,이문1동
1123075000,이문제2동,11060900,이문2동
1126052000,면목제2동,11070520,면목2동
1126054000,면목제4동,11070540,면목4동
1126055000,면목제5동,11070550,면목5동
1126056500,면목본동,11070710,면목본동
1126057000,면목제7동,11070570,면목7동
1126057500,면목제3.8동,11070720,면목3·8동
1126058000,상봉제1동,11070590,상봉1동
1126059000,상봉제2동,11070600,상봉2동
1126060000,중화제1동,11070610,중화1동
1126061000,중화제2동,11070620,중화2동
1126062000,묵제1동,11070640,묵1동
1126063000,묵제2동,11070650,묵2동
1126065500,망우본동,11070730,망우본동
1126066000,망우제3동,11070680,망우3동
1126068000,신내1동,11070690,신내1동
1126069000,신내2동,11070700,신내2동
1129052500,성북동,11080810,성북동
1129055500,삼선동,11080820,삼선동
1129057500,동선동,11080830,동선동
1129058000,돈암제1동,11080580,돈암1동
1129059000,돈암제2동,11080590,돈암2동
1129060000,안암동,11080600,안암동
1129061000,보문동,11080610,보문동
1129062000,정릉제1동,11080620,정릉1동
1129063000,정릉제2동,11080630,정릉2동
1129064000,정릉제3동,11080640,정릉3동
1129065000,정릉제4동,11080650,정릉4동
1129066000,길음제1동,11080660,길음1동
1129068500,길음제2동,11080680,길음2동
1129070500,종암동,11080840,종암동
1129071500,월곡제1동,11080710,월곡1동
1129072500,월곡제2동,11080720,월곡2동
1129076000,장위제1동,11080760,장위1동
1129077000,장위제2동,11080770,장위2동
1129078000,장위제3동,11080780,장위3동
1129081000,석관동,11080850,석관동
1130553400,삼양동,11090690,삼양동
1130553500,미아동,11090700,미아동
1130554500,송중동,11090710,송중동
1130555500,송천동,11090720,송천동
1130557500,삼각산동,11090730,삼각산동
1130559500,번1동,11090600,번1동
1130560300,번2동,11090610,번2동
1130560800,번3동,11090620,번3동
1130561500,수유1동,11090630,수유1동
1130562500,수유2동,11090640,수유2동
1130563500,수유3동,11090650,수유3동
1130564500,우이동,11090740,우이동
1130566000,인수동,11090750,인수동
1132051100,창제1동,11100590,창1동
1132051200,창제2동,11100600,창2동
1132051300,창제3동,11100610,창3동
1132051400,창제4동,11100620,창4동
1132051500,창제5동,11100630,창5동
1132052100,도봉제1동,11100640,도봉1동
1132052200,도봉제2동,11100650,도봉2동
1132066000,쌍문제1동,11100510,쌍문1동
1132067000,쌍문제2동,11100520,쌍문2동
1132068000,쌍문제3동,11100530,쌍문3동
1132068100,쌍문제4동,11100540,쌍문4동
1132069000,방학제1동,11100550,방학1동
1132070000,방학제2동,11100560,방학2동
1132071000,방학제3동,11100570,방학3동
1135056000,월계1동,11110510,월계1동
1135057000,월계2동,11110520,월계2동
1135058000,월계3동,11110530,월계3동
1135059500,공릉1동,11110790,공릉1동
1135060000,공릉2동,11110560,공릉2동
1135061100,하계1동,11110580,하계1동
1135061200,하계2동,11110590,하계2동
1135061900,중계본동,11110600,중계본동
1135062100,중계1동,11110610,중계1동
1135062400,중계4동,11110640,중계4동
1135062500,중계2.3동,11110780,중계2·3동
1135063000,상계1동,11110650,상계1동
1135064000,상계2동,11110660,상계2동
1135066500,상계3.4동,11110760,상계3·4동
1135067000,상계5동,11110690,상계5동
1135069500,상계6.7동,11110770,상계6·7동
1135070000,상계8동,11110720,상계8동
1135071000,상계9동,11110730,상계9동
1135072000,상계10동,11110740,상계10동
1138051000,녹번동,11120510,녹번동
1138052000,불광제1동,11120520,불광1동
1138053000,불광제2동,11120720,불광2동
1138055100,갈현제1동,11120550,갈현1동
1138055200,갈현제2동,11120560,갈현2동
1138056000,구산동,11120570,구산동
1138057000,대조동,11120580,대조동
1138058000,응암제1동,11120590,응암1동
1138059000,응암제2동,11120600,응암2동
1138060000,응암제3동,11120730,응암3동
1138062500,역촌동,11120740,역촌동
1138063100,신사제1동,11120650,신사1동
1138063200,신사제2동,11120660,신사2동
1138064000,증산동,11120670,증산동
1138065000,수색동,11120680,수색동
1138069000,진관동,11120710,진관동
1141052000,천연동,11130520,천연동
1141055500,북아현동,11130740,북아현동
1141056500,충현동,11130730,충현동
1141058500,신촌동,11130750,신촌동
1141061500,연희동,11130760,연희동
1141062000,홍제제1동,11130620,홍제1동
1141064000,홍제제3동,11130640,홍제3동
1141065500,홍제제2동,11130650,홍제2동
1141066000,홍은제1동,11130660,홍은1동
1141068500,홍은제2동,11130680,홍은2동
1141069000,남가좌제1동,11130690,남가좌1동
1141070000,남가좌제2동,11130700,남가좌2동
1141071000,북가좌제1동,11130710,북가좌1동
1141072000,북가좌제2동,11130720,북가좌2동
1144055500,아현동,11140780,아현동
1144056500,공덕동,11140770,공덕동
1144058500,도화동,11140750,도화동
1144059000,용강동,11140590,용강동
1144060000,대흥동,11140600,대흥동
1144061000,염리동,11140610,염리동
1144063000,신수동,11140630,신수동
1144065500,서강동,11140760,서강동
1144066000,서교동,11140660,서교동
1144068000,합정동,11140680,합정동
1144069000,망원제1동,11140690,망원1동
1144070000,망원제2동,11140700,망원2동
1144071000,연남동,11140710,연남동
1144072000,성산제1동,11140720,성산1동
1144073000,성산제2동,11140730,성산2동
1144074000,상암동,11140740,상암동
1147051000,목1동,11150510,목1동
1147052000,목2동,11150520,목2동
1147053000,목3동,11150530,목3동
